date,doy,linear_fill,is_real_obs,gap_days_to_obs,sg_w11_p2,sg_w11_p3,sg_w21_p2,sg_w21_p3,sg_w31_p2,sg_w31_p3,sg_w41_p2,sg_w41_p3
2025-12-29,105,0.0979586380566688,True,0.0,0.10330386623190295,0.10330386623190296,0.10856047739867454,0.10856047739867482,0.11720869440862287,0.11720869440862289,0.12421336533165975,0.12421336533165993
2025-12-30,106,0.09890000568664839,False,1.0,0.09991814438669296,0.09991814438669296,0.10462928250278279,0.104629282502783,0.11237836089706996,0.11237836089706996,0.12006910227724034,0.1200691022772405
2025-12-31,107,0.09984137331662798,False,2.0,0.09867051381157665,0.09867051381157667,0.10185465189874619,0.10185465189874637,0.10821758934179454,0.10821758934179457,0.11622811890596736,0.11622811890596757
2026-01-01,108,0.10078274094660758,False,3.0,0.09917917249403731,0.09917917249403732,0.10018304094342338,0.10018304094342352,0.10482970341477864,0.10482970341477864,0.1127349969095478,0.11273499690954802
2026-01-02,109,0.10172410857658717,False,4.0,0.100807783746547,0.10080778374654702,0.09952520856491186,0.09952520856491197,0.1023174096247656,0.1023174096247656,0.10963405168852106,0.10963405168852129
2026-01-03,110,0.10266547620656677,False,5.0,0.10266547620656674,0.10266547620656676,0.09975621726254828,0.09975621726254835,0.10078279731726014,0.10078279731726016,0.10696933235225904,0.10696933235225933
2026-01-04,111,0.10360684383654636,False,6.0,0.10360684383654636,0.10360684383654636,0.10071543310690839,0.10071543310690842,0.10032733867452838,0.10032733867452838,0.10478462171896631,0.10478462171896666
2026-01-05,112,0.10454821146652596,False,7.0,0.10454821146652594,0.10454821146652593,0.10220652573980679,0.10220652573980676,0.10046704948712576,0.10046704948712576,0.10312343631567998,0.10312343631568029
2026-01-06,113,0.10548957909650554,False,8.0,0.10548957909650553,0.10548957909650554,0.10399746837429728,0.10399746837429727,0.10113015607305542,0.10113015607305541,0.10202902637826965,0.10202902637827
2026-01-07,114,0.10643094672648513,False,9.0,0.1064309467264851,0.10643094672648512,0.10582053779467265,0.1058205377946726,0.10223384264539746,0.10223384264539746,0.10154437585143748,0.1015443758514378
2026-01-08,115,0.10737231435646473,False,10.0,0.1073723143564647,0.10737231435646469,0.10737231435646469,0.10737231435646465,0.10368425131230985,0.10368425131230985,0.10171220238871817,0.10171220238871853
